"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USC00160462","BAKER, LA US","2005-11-27",,,"1.19","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-11-28",,,"0.56","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-11-29",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-11-30",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-01",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-02",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-03",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-04",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-05",,,"1.85","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-06",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-07",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-08",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-09",,,"0.09","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-10",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-11",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-12",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-13",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-14",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-15",,,"2.50","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-16",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-17",,,"0.02","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-18",,,"0.22","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-19",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-20",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-21",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-22",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-23",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-24",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-25",,,"0.40","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-26",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-27",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-28",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-29",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-30",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2005-12-31",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-01",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-02",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-03",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-04",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-05",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-06",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-07",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-08",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-09",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-10",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-11",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-12",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-13",,,"0.40","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-14",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-15",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-16",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-17",,,"0.78","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-18",,,"0.05","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-19",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-20",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-21",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-22",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-23",,,"0.19","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-24",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-25",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-26",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-27",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-28",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-29",,,"0.56","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-30",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-01-31",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-01",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-02",,,"1.02","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-03",,,"0.01","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-04",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-05",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-06",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-07",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-08",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-09",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-10",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-11",,,"1.49","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-12",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-13",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-14",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-15",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-16",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-17",,,"0.03","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-18",,,"0.30","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-19",,,"0.04","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-20",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-21",,,"0.12","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-22",,,"0.09","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-23",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-24",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-25",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-26",,,"1.42","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-27",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-02-28",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-01",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-02",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-03",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-04",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-05",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-06",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-07",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-08",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-09",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-10",,,"0.07","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-11",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-12",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-13",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-14",,,"0.04","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-15",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-16",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-17",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-18",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-19",,,"0.03","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-20",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-21",,,"0.11","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-22",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-23",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-24",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-25",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-26",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-27",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-28",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-29",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-30",,,"0.08","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-03-31",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-01",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-02",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-03",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-04",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-05",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-06",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-07",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-08",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-09",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-10",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-11",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-12",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-13",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-14",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-15",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-16",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-17",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-18",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-19",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-20",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-21",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-22",,,"0.19","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-23",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-24",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-25",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-26",,,"0.87","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-27",,,"0.01","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-28",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-29",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-04-30",,,"2.67","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-01",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-02",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-03",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-04",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-05",,,"0.01","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-06",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-07",,,"0.38","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-08",,,"0.59","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-09",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-10",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-11",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-12",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-13",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-14",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-15",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-16",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-17",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-18",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-19",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-20",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-21",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-22",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-23",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-24",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-25",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-26",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-27",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-28",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-29",,,"0.01","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-30",,,"0.40","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-05-31",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-01",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-02",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-03",,,"0.20","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-04",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-05",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-06",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-07",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-08",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-09",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-10",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-11",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-12",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-13",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-14",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-15",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-16",,,"0.26","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-17",,,"0.84","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-18",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-19",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-20",,,"0.14","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-21",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-22",,,"0.15","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-23",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-24",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-25",,,"0.81","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-26",,,"0.02","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-27",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-28",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-29",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-06-30",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-01",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-02",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-03",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-04",,,"0.20","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-05",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-06",,,"0.80","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-07",,,"0.46","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-08",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-09",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-10",,,"0.69","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-11",,,"0.01","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-12",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-13",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-14",,,"0.56","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-15",,,"0.06","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-16",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-17",,,"0.02","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-18",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-19",,,"0.72","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-20",,,"0.73","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-21",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-22",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-23",,,"0.03","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-24",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-25",,,"0.87","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-26",,,"0.31","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-27",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-28",,,"0.36","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-29",,,"0.51","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-30",,,"1.95","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-07-31",,,"0.36","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-01",,,"0.56","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-02",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-03",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-04",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-05",,,"1.14","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-06",,,"2.30","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-07",,,"0.61","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-08",,,"0.21","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-09",,,"1.46","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-10",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-11",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-12",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-13",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-14",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-15",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-16",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-17",,,"0.30","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-18",,,"0.01","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-19",,,"0.01","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-20",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-21",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-22",,,"0.13","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-23",,,"0.43","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-24",,,"0.04","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-25",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-26",,,"0.03","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-27",,,"0.95","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-28",,,"0.14","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-29",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-30",,,"0.02","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-08-31",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-01",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-02",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-03",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-04",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-05",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-06",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-07",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-08",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-09",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-10",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-11",,,"1.25","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-12",,,"0.49","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-13",,,"0.03","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-14",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-15",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-16",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-17",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-18",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-19",,,"0.52","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-20",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-21",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-22",,,"0.16","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-23",,,"0.42","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-24",,,"0.43","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-25",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-26",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-27",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-28",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-29",,,"0.13","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-09-30",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-01",,,"0.28","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-02",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-03",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-04",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-05",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-06",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-07",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-08",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-09",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-10",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-11",,,"0.08","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-12",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-13",,,"0.02","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-14",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-15",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-16",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-17",,,"1.30","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-18",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-19",,,"1.70","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-20",,,"0.82","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-21",,,"0.00","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-22",,,"1.30","0.0","0.0",,,,
"USC00160462","BAKER, LA US","2006-10-23",,,"0.00","0.0","0.0",,,,
